fecha,anio,mes,banco,indicador,monto_miles
31/12/2020,2020,12,BANCOM,UTILIDAD_NETA,23348.242
31/12/2020,2020,12,BBVA,TOTAL_ACTIVOS,74511095.633
31/12/2020,2020,12,BBVA,PATRIMONIO,9352588.314
31/12/2020,2020,12,BBVA,UTILIDAD_NETA,655135.69
31/12/2020,2020,12,BCP,TOTAL_ACTIVOS,120100227.366
31/12/2020,2020,12,BCP,PATRIMONIO,18761998.256
31/12/2020,2020,12,BCP,UTILIDAD_NETA,832889.233
31/12/2020,2020,12,FALABELLA,TOTAL_ACTIVOS,3749461.818
31/12/2020,2020,12,FALABELLA,PATRIMONIO,711003.517
31/12/2020,2020,12,FALABELLA,UTILIDAD_NETA,-90300.527
31/12/2020,2020,12,GNB,TOTAL_ACTIVOS,4238473.567
31/12/2020,2020,12,GNB,PATRIMONIO,749096.488
31/12/2020,2020,12,GNB,UTILIDAD_NETA,5103.705
31/12/2020,2020,12,INTERBANK,TOTAL_ACTIVOS,50691004.589
31/12/2020,2020,12,INTERBANK,PATRIMONIO,6155893.592
31/12/2020,2020,12,INTERBANK,UTILIDAD_NETA,264882.641
31/12/2020,2020,12,MIBANCO,TOTAL_ACTIVOS,15261664.546
31/12/2020,2020,12,MIBANCO,PATRIMONIO,2331847.142
31/12/2020,2020,12,MIBANCO,UTILIDAD_NETA,-35203.508
31/12/2020,2020,12,PICHINCHA,TOTAL_ACTIVOS,8371690.205
31/12/2020,2020,12,PICHINCHA,PATRIMONIO,947493.327
31/12/2020,2020,12,PICHINCHA,UTILIDAD_NETA,-18016.185
31/12/2020,2020,12,RIPLEY,TOTAL_ACTIVOS,2082367.25
31/12/2020,2020,12,RIPLEY,PATRIMONIO,329336.893
31/12/2020,2020,12,RIPLEY,UTILIDAD_NETA,-109957.985
31/12/2020,2020,12,SANTANDER,TOTAL_ACTIVOS,4731519.691
31/12/2020,2020,12,SANTANDER,PATRIMONIO,881632.063
31/12/2020,2020,12,SANTANDER,UTILIDAD_NETA,118709.348
31/12/2020,2020,12,SCOTIABANK,TOTAL_ACTIVOS,52713225.09
31/12/2020,2020,12,SCOTIABANK,PATRIMONIO,9993948.326
31/12/2020,2020,12,SCOTIABANK,UTILIDAD_NETA,266320.9
31/12/2021,2021,12,BANBIF,TOTAL_ACTIVOS,11643705.687
31/12/2021,2021,12,BANBIF,PATRIMONIO,1397197.159
31/12/2021,2021,12,BANBIF,UTILIDAD_NETA,157835.626
31/12/2021,2021,12,BANCOM,TOTAL_ACTIVOS,1955264.135
31/12/2021,2021,12,BANCOM,PATRIMONIO,378006.054
31/12/2021,2021,12,BANCOM,UTILIDAD_NETA,17279.408
31/12/2021,2021,12,BBVA,TOTAL_ACTIVOS,70266255.4
31/12/2021,2021,12,BBVA,PATRIMONIO,10180246.348
31/12/2021,2021,12,BBVA,UTILIDAD_NETA,1559293.09
31/12/2021,2021,12,BCP,TOTAL_ACTIVOS,113987719.288
31/12/2021,2021,12,BCP,PATRIMONIO,20292476.599
31/12/2021,2021,12,BCP,UTILIDAD_NETA,3031402.744
31/12/2021,2021,12,FALABELLA,TOTAL_ACTIVOS,3981520.172
31/12/2021,2021,12,FALABELLA,PATRIMONIO,850426.76
31/12/2021,2021,12,FALABELLA,UTILIDAD_NETA,-43093.849
31/12/2021,2021,12,GNB,TOTAL_ACTIVOS,4070966.187
31/12/2021,2021,12,GNB,PATRIMONIO,759045.064
31/12/2021,2021,12,GNB,UTILIDAD_NETA,31527.304
31/12/2021,2021,12,INTERBANK,TOTAL_ACTIVOS,48116449.892
31/12/2021,2021,12,INTERBANK,PATRIMONIO,6822894.815
31/12/2021,2021,12,INTERBANK,UTILIDAD_NETA,1200475.563
31/12/2021,2021,12,MIBANCO,TOTAL_ACTIVOS,15273064.115
31/12/2021,2021,12,MIBANCO,PATRIMONIO,2213480.677
31/12/2021,2021,12,MIBANCO,UTILIDAD_NETA,179147.985
31/12/2021,2021,12,PICHINCHA,TOTAL_ACTIVOS,8009052.712
31/12/2021,2021,12,PICHINCHA,PATRIMONIO,885130.703
31/12/2021,2021,12,PICHINCHA,UTILIDAD_NETA,-97770.605
31/12/2021,2021,12,RIPLEY,TOTAL_ACTIVOS,2131524.058
